paragraph_index,original_iast,aksharamukha_output,sanscript_output
170,"athavā kṛṣṇa-varṇaṁ kṛṣṇety ato varṇo yatra yasmin śrī-gaurāṅga-mahāprabhu-kṛṣṇa-caitanya-deva-nāmni, śrī-kṛṣṇatvābhivyañjakaṁ kṛṣṇeti varṇa-yugalaṁ prayuktam ity asti kathā krāmasandarbhī | yathā dvāpare śrī-kṛṣṇo’vatarati tathaiva kalau śrī-gaurāṅgo’py avatarati | antaḥ kṛṣṇo bahiḥ pītatvāt sarvataḥ kṛṣṇatvābhivyañjakatvāc ca śrī-kṛṣṇasya pracchannāvirbhāva-viśeṣa evāyam avatāraḥ śrī-gaurāṅga-mahāprabhur ity āyāti |","अथवा कृष्णवर्णं कृष्णेत्य् अतो वर्णो यत्र यस्मिन् श्रीगौराङ्गमहाप्रभुकृष्णचैतन्यदेवनाम्नि, श्रीकृष्णत्वाभिव्यञ्जकं कृष्णेति वर्णयुगलं प्रयुक्तम् इत्य् अस्ति कथा क्रामसन्दर्भी । यथा द्वापरे श्रीकृष्णोऽवतरति तथैव कलौ श्रीगौराङ्गोऽप्य् अवतरति । अन्तः कृष्णो बहिः पीतत्वात् सर्वतः कृष्णत्वाभिव्यञ्जकत्वाच् च श्रीकृष्णस्य प्रच्छन्नाविर्भावविशेष एवायम् अवतारः श्रीगौराङ्गमहाप्रभुर् इत्य् आयाति ।","अथवा कृष्णवर्णꣳ कृष्णेत्य् अतो वर्णो यत्र यस्मिन् श्रीगौराङ्गमहाप्रभुकृष्णचैतन्यदेवनाम्नि, श्रीकृष्णत्वाभिव्यञ्जकꣳ कृष्णेति वर्णयुगलꣳ प्रयुक्तम् इत्य् अस्ति कथा क्रामसन्दर्भी । यथा द्वापरे श्रीकृष्णोऽवतरति तथैव कलौ श्रीगौराङ्गोऽप्य् अवतरति । अन्तः कृष्णो बहिः पीतत्वात् सर्वतः कृष्णत्वाभिव्यञ्जकत्वाच् च श्रीकृष्णस्य प्रच्छन्नाविर्भावविशेष एवायम् अवतारः श्रीगौराङ्गमहाप्रभुर् इत्य् आयाति ।"
172,śrī-kṛṣṇasya kṛṣṇa-varṇa-parāvṛttyā gaura-varṇa-sampattī cāyam eva hetuḥ | śrī-rādhāyā viṣṇu-priyā-rūpeṇāvatīrṇāyāḥ sva-preyasyāvarṇa-bhāvābhyāṁ svīya-kṛṣṇa-varṇa-bhāvābhibhavena sva-preyasī-varṇa-bhāvābhibhāvena ca śrī-kṛṣṇasya kalau pracchannāvatāratvam |,श्रीकृष्णस्य कृष्णवर्णपरावृत्त्या गौरवर्णसम्पत्ती चायम् एव हेतुः । श्रीराधाया विष्णुप्रियारूपेणावतीर्णायाः स्वप्रेयस्यावर्णभावाभ्यां स्वीयकृष्णवर्णभावाभिभवेन स्वप्रेयसीवर्णभावाभिभावेन च श्रीकृष्णस्य कलौ प्रच्छन्नावतारत्वम् ।,श्रीकृष्णस्य कृष्णवर्णपरावृत्त्या गौरवर्णसम्पत्ती चायम् एव हेतुः । श्रीराधाया विष्णुप्रियारूपेणावतीर्णायाः स्वप्रेयस्यावर्णभावाभ्याꣳ स्वीयकृष्णवर्णभावाभिभवेन स्वप्रेयसीवर्णभावाभिभावेन च श्रीकृष्णस्य कलौ प्रच्छन्नावतारत्वम् ।
174,"athaivambhūta-śrī-gaurāṅga-devasya parameśvaratvaṁ vijñāpayati viśeṣaṇāntareṇa “sāṅgopāṅgāstra-pārṣadam” iti | aṅgāni manoramāvayavādīni upāṅgāni mahā-prabhāva-yukta-bhūṣaṇādīni eva astrāṇi pārṣado yasya saḥ | taṁ śrī-gaurāṅga-mahāprabhuṁ sumedhaso yajantīti nirdeśaḥ | athavā aṅgāni hṛdayādīni, upāṅgāni kaustubhādīni astrāṇi sudarśanādīni, pārṣadāḥ sunandādayaḥ pracchannatvāt gupta-bhāvenāvatiṣṭhante yatra śrī-gaurāṅgāvatāre tam ity arthaḥ | pracchannārthakatva-rūpa-kaṣṭha-kalpanāṁ parityajya śrī-gaurāṅga-pūrṇāvatārocita-vyākhyām āha ānanda-pādaḥ—“atyanta-premāspadatvāt tat-tulyā eva pārṣadāḥ śrīmad-advaitācārya-mahānubhāva-caraṇa-prabhṛtayas taiḥ saha vartamānam iti cārthāntareṇa vaktavyam” iti | atra prabhṛtayaḥ iti padena śrī-nityānando gadādharo śrīvāsaḥ tathā śrī-viṣṇu-priyāyāḥ anuja-sahodara-śrī-yādavācāryaḥ, tathā tat-putra śrī-mādhavānandaḥ nitya-pārṣadā jñeyāḥ |","अथैवम्भूतश्रीगौराङ्गदेवस्य परमेश्वरत्वं विज्ञापयति विशेषणान्तरेण “साङ्गोपाङ्गास्त्रपार्षदम्” इति । अङ्गानि मनोरमावयवादीनि उपाङ्गानि महाप्रभावयुक्तभूषणादीनि एव अस्त्राणि पार्षदो यस्य सः । तं श्रीगौराङ्गमहाप्रभुं सुमेधसो यजन्तीति निर्देशः । अथवा अङ्गानि हृदयादीनि, उपाङ्गानि कौस्तुभादीनि अस्त्राणि सुदर्शनादीनि, पार्षदाः सुनन्दादयः प्रच्छन्नत्वात् गुप्तभावेनावतिष्ठन्ते यत्र श्रीगौराङ्गावतारे तम् इत्य् अर्थः । प्रच्छन्नार्थकत्वरूपकष्ठकल्पनां परित्यज्य श्रीगौराङ्गपूर्णावतारोचितव्याख्याम् आह आनन्दपादः—“अत्यन्तप्रेमास्पदत्वात् तत्तुल्या एव पार्षदाः श्रीमदद्वैताचार्यमहानुभावचरणप्रभृतयस् तैः सह वर्तमानम् इति चार्थान्तरेण वक्तव्यम्” इति । अत्र प्रभृतयः इति पदेन श्रीनित्यानन्दो गदाधरो श्रीवासः तथा श्रीविष्णुप्रियायाः अनुजसहोदरश्रीयादवाचार्यः, तथा तत्पुत्र श्रीमाधवानन्दः नित्यपार्षदा ज्ञेयाः ।","अथैवम्भूतश्रीगौराङ्गदेवस्य परमेश्वरत्वꣳ विज्ञापयति विशेषणान्तरेण “साङ्गोपाङ्गास्त्रपार्षदम्” इति । अङ्गानि मनोरमावयवादीनि उपाङ्गानि महाप्रभावयुक्तभूषणादीनि एव अस्त्राणि पार्षदो यस्य सः । तꣳ श्रीगौराङ्गमहाप्रभुꣳ सुमेधसो यजन्तीति निर्देशः । अथवा अङ्गानि हृदयादीनि, उपाङ्गानि कौस्तुभादीनि अस्त्राणि सुदर्शनादीनि, पार्षदाः सुनन्दादयः प्रच्छन्नत्वात् गुप्तभावेनावतिष्ठन्ते यत्र श्रीगौराङ्गावतारे तम् इत्य् अर्थः । प्रच्छन्नार्थकत्वरूपकष्ठकल्पनाꣳ परित्यज्य श्रीगौराङ्गपूर्णावतारोचितव्याख्याम् आह आनन्दपादः—“अत्यन्तप्रेमास्पदत्वात् तत्तुल्या एव पार्षदाः श्रीमदद्वैताचार्यमहानुभावचरणप्रभृतयस् तैः सह वर्तमानम् इति चार्थान्तरेण वक्तव्यम्” इति । अत्र प्रभृतयः इति पदेन श्रीनित्यानन्दो गदाधरो श्रीवासः तथा श्रीविष्णुप्रियायाः अनुजसहोदरश्रीयादवाचार्यः, तथा तत्पुत्र श्रीमाधवानन्दः नित्यपार्षदा ज्ञेयाः ।"
176,"tam evaṁbhūta-kali-pāvanāvatāraṁ śrīman-mahāprabhu-gaurāṅga-devaṁ yajñaiḥ pūjā-sambhāraiḥ saṅkīrtana-prāyaiḥ sumedhasaḥ yajanti | ye ca durmedhasaḥ te śrī-gaurāṅga-devam anādṛtya śrī-gaura-nāma-kīrtanaṁ ca parityajya anya-devārcanena vṛthā-kāla-nipātaṁ kurvanti, ante ca nityaṁ samāpnuvanti iti dhvaniḥ ||1|| ","तम् एवंभूतकलिपावनावतारं श्रीमन्महाप्रभुगौराङ्गदेवं यज्ञैः पूजासम्भारैः सङ्कीर्तनप्रायैः सुमेधसः यजन्ति । ये च दुर्मेधसः ते श्रीगौराङ्गदेवम् अनादृत्य श्रीगौरनामकीर्तनं च परित्यज्य अन्यदेवार्चनेन वृथाकालनिपातं कुर्वन्ति, अन्ते च नित्यं समाप्नुवन्ति इति ध्वनिः ॥१॥ ","तम् एवꣳभूतकलिपावनावतारꣳ श्रीमन्महाप्रभुगौराङ्गदेवꣳ यज्ञैः पूजासम्भारैः सङ्कीर्तनप्रायैः सुमेधसः यजन्ति । ये च दुर्मेधसः ते श्रीगौराङ्गदेवम् अनादृत्य श्रीगौरनामकीर्तनꣳ च परित्यज्य अन्यदेवार्चनेन वृथाकालनिपातꣳ कुर्वन्ति, अन्ते च नित्यꣳ समाप्नुवन्ति इति ध्वनिः ॥१॥ "
182,antaḥ kṛṣṇaṁ bahir gauraṁ darśitāṅgādi-vaibhavam |,अन्तः कृष्णं बहिर् गौरं दर्शिताङ्गादिवैभवम् ।,अन्तः कृष्णꣳ बहिर् गौरꣳ दर्शिताङ्गादिवैभवम् ।
185,sarva-saṁvādinī : tad etat sarvam avadhāryāpi paramotkṛṣṭenārthena tam eva stauti—antaḥ kṛṣṇam ity-ādinā | darśitaṁ caitat parama-vidvac-chiromaṇinā śrī-sārvabhauma-bhaṭṭācāryeṇa—,सर्वसंवादिनी : तद् एतत् सर्वम् अवधार्यापि परमोत्कृष्टेनार्थेन तम् एव स्तौति—अन्तः कृष्णम् इत्यादिना । दर्शितं चैतत् परमविद्वच्छिरोमणिना श्रीसार्वभौमभट्टाचार्येण—,सर्वसꣳवादिनी : तद् एतत् सर्वम् अवधार्यापि परमोत्कृष्टेनार्थेन तम् एव स्तौति—अन्तः कृष्णम् इत्यादिना । दर्शितꣳ चैतत् परमविद्वच्छिरोमणिना श्रीसार्वभौमभट्टाचार्येण—
187,	kālān naṣṭaṁ bhakti-yogaṁ nijaṁ yaḥ,	कालान् नष्टं भक्तियोगं निजं यः,	कालान् नष्टꣳ भक्तियोगꣳ निजꣳ यः
188,	prāduṣkartuṁ kṛṣṇa-caitanya-nāmā |,	प्रादुष्कर्तुं कृष्णचैतन्यनामा ।,	प्रादुष्कर्तुꣳ कृष्णचैतन्यनामा ।
190,	gāḍhaṁ gāḍhaṁ līyatāṁ citta-bhṛṅgaḥ || iti ||2||,	गाढं गाढं लीयतां चित्तभृङ्गः ॥ इति ॥२॥,	गाढꣳ गाढꣳ लीयताꣳ चित्तभृङ्गः ॥ इति ॥२॥
194,rādhā-mohana-gosvāmī : sva-bhajanasya sampradāya-pravartanāyāvatīrṇaṁ gaura-rūpeṇa śrī-kṛṣṇaṁ tad-anugata-vyākhyā-sampattaye punaḥ praṇamati—antaḥ-kṛṣṇam iti | āśritā iti vayam iti śeṣaḥ ||2-7||,राधामोहनगोस्वामी : स्वभजनस्य सम्प्रदायप्रवर्तनायावतीर्णं गौररूपेण श्रीकृष्णं तदनुगतव्याख्यासम्पत्तये पुनः प्रणमति—अन्तःकृष्णम् इति । आश्रिता इति वयम् इति शेषः ॥२-७॥,राधामोहनगोस्वामी : स्वभजनस्य सम्प्रदायप्रवर्तनायावतीर्णꣳ गौररूपेण श्रीकृष्णꣳ तदनुगतव्याख्यासम्पत्तये पुनः प्रणमति—अन्तःकृष्णम् इति । आश्रिता इति वयम् इति शेषः ॥२-७॥
196,gaura-kiśora-gosvāmī : atha prathama-ślokārtha-spaṣṭīkaraṇāya kalau śrī-gaurāṅga eva upāsya iti abhidhā-vṛttyā vijñāpanārthaṁ tat siddhānta-dārḍhyāya tasya paramotkarṣa-pratipādayiṣuḥ tam eva śrī-gaurāṅga-mahāprabhu-kṛṣṇa-caitanya-devaṁ stauti—antaḥ-kṛṣṇam ity-ādinā |,गौरकिशोरगोस्वामी : अथ प्रथमश्लोकार्थस्पष्टीकरणाय कलौ श्रीगौराङ्ग एव उपास्य इति अभिधावृत्त्या विज्ञापनार्थं तत् सिद्धान्तदार्ढ्याय तस्य परमोत्कर्षप्रतिपादयिषुः तम् एव श्रीगौराङ्गमहाप्रभुकृष्णचैतन्यदेवं स्तौति—अन्तःकृष्णम् इत्यादिना ।,गौरकिशोरगोस्वामी : अथ प्रथमश्लोकार्थस्पष्टीकरणाय कलौ श्रीगौराङ्ग एव उपास्य इति अभिधावृत्त्या विज्ञापनार्थꣳ तत् सिद्धान्तदार्ढ्याय तस्य परमोत्कर्षप्रतिपादयिषुः तम् एव श्रीगौराङ्गमहाप्रभुकृष्णचैतन्यदेवꣳ स्तौति—अन्तःकृष्णम् इत्यादिना ।
198,"na ca svataḥ-siddhasya śrī-gaurāṅgāvatārasya punaḥ pratipādanaṁ na saṅgacchate śāstra-vākyādinā, pratipādane’pi heyopādeyatā-rahitasya tasyāpuruṣārthatva-prasaṅga iti vācyam | śāstra-vākyāni śrī-gaurāṅgaṁ pratipādayanti | vimūḍha-janānāṁ tathā kutarkācchannānāṁ matim ākarṣayituṁ bāhya-kathā laukika-rītyā vā śrī-gaurāṅgam upāsyatvena jñāpayanti ghoṣayanti | tataḥ śāstreṇa pratipāditatve’pi śrī-gaurāṅgasya svataḥ-siddhatvaṁ na hīyate | yat tu puruṣārthā prāpti-prasaṅgaḥ, naiṣa doṣaḥ | śrī-gaurāṅgaṁ bhagavataḥ pūrṇāvatāra-bhāvena jñātvā asya arcanādau niviṣṭa-cittānāṁ sarva-kleśa-prahāṇāt parama-puruṣārtha-prāpteḥ |","न च स्वतःसिद्धस्य श्रीगौराङ्गावतारस्य पुनः प्रतिपादनं न सङ्गच्छते शास्त्रवाक्यादिना, प्रतिपादनेऽपि हेयोपादेयतारहितस्य तस्यापुरुषार्थत्वप्रसङ्ग इति वाच्यम् । शास्त्रवाक्यानि श्रीगौराङ्गं प्रतिपादयन्ति । विमूढजनानां तथा कुतर्काच्छन्नानां मतिम् आकर्षयितुं बाह्यकथा लौकिकरीत्या वा श्रीगौराङ्गम् उपास्यत्वेन ज्ञापयन्ति घोषयन्ति । ततः शास्त्रेण प्रतिपादितत्वेऽपि श्रीगौराङ्गस्य स्वतःसिद्धत्वं न हीयते । यत् तु पुरुषार्था प्राप्तिप्रसङ्गः, नैष दोषः । श्रीगौराङ्गं भगवतः पूर्णावतारभावेन ज्ञात्वा अस्य अर्चनादौ निविष्टचित्तानां सर्वक्लेशप्रहाणात् परमपुरुषार्थप्राप्तेः ।","न च स्वतःसिद्धस्य श्रीगौराङ्गावतारस्य पुनः प्रतिपादनꣳ न सङ्गच्छते शास्त्रवाक्यादिना, प्रतिपादनेऽपि हेयोपादेयतारहितस्य तस्यापुरुषार्थत्वप्रसङ्ग इति वाच्यम् । शास्त्रवाक्यानि श्रीगौराङ्गꣳ प्रतिपादयन्ति । विमूढजनानाꣳ तथा कुतर्काच्छन्नानाꣳ मतिम् आकर्षयितुꣳ बाह्यकथा लौकिकरीत्या वा श्रीगौराङ्गम् उपास्यत्वेन ज्ञापयन्ति घोषयन्ति । ततः शास्त्रेण प्रतिपादितत्वेऽपि श्रीगौराङ्गस्य स्वतःसिद्धत्वꣳ न हीयते । यत् तु पुरुषार्था प्राप्तिप्रसङ्गः, नैष दोषः । श्रीगौराङ्गꣳ भगवतः पूर्णावतारभावेन ज्ञात्वा अस्य अर्चनादौ निविष्टचित्तानाꣳ सर्वक्लेशप्रहाणात् परमपुरुषार्थप्राप्तेः ।"
200,"yadyapīdam avirodhena bhakti-siddhāntaṁ nirūpayituṁ śāstraṁ pravṛttam, na ucchṛṅkhala-tarka-śāstravat śuṣka-tarkāśrayeṇa kevalābhir yuktibhiḥ kiñcit mataṁ sādhayituṁ khaṇḍayituṁ vā pravṛttam, tathāpi samyak-darśana-pratipakṣa-bhūtāni ānanda-deśīyānāṁ duṣṭa-matāni avaśyaṁ nirākaraṇīyāni, anyathā kutarka-samācchāditaṁ tattvaṁ na puruṣārtha-siddhaye paryāptaṁ syād iti tat-tan-matam utthāpya nirākriyate |","यद्यपीदम् अविरोधेन भक्तिसिद्धान्तं निरूपयितुं शास्त्रं प्रवृत्तम्, न उच्छृङ्खलतर्कशास्त्रवत् शुष्कतर्काश्रयेण केवलाभिर् युक्तिभिः किञ्चित् मतं साधयितुं खण्डयितुं वा प्रवृत्तम्, तथापि सम्यक्दर्शनप्रतिपक्षभूतानि आनन्ददेशीयानां दुष्टमतानि अवश्यं निराकरणीयानि, अन्यथा कुतर्कसमाच्छादितं तत्त्वं न पुरुषार्थसिद्धये पर्याप्तं स्याद् इति तत्तन्मतम् उत्थाप्य निराक्रियते ।","यद्यपीदम् अविरोधेन भक्तिसिद्धान्तꣳ निरूपयितुꣳ शास्त्रꣳ प्रवृत्तम्, न उच्छृङ्खलतर्कशास्त्रवत् शुष्कतर्काश्रयेण केवलाभिर् युक्तिभिः किञ्चित् मतꣳ साधयितुꣳ खण्डयितुꣳ वा प्रवृत्तम्, तथापि सम्यक्दर्शनप्रतिपक्षभूतानि आनन्ददेशीयानाꣳ दुष्टमतानि अवश्यꣳ निराकरणीयानि, अन्यथा कुतर्कसमाच्छादितꣳ तत्त्वꣳ न पुरुषार्थसिद्धये पर्याप्तꣳ स्याद् इति तत्तन्मतम् उत्थाप्य निराक्रियते ।"
202,atrāśiṣṭā manyante śrī-kṛṣṇena saha bhagavataḥ śrī-gaurāṅgasya na kaścit sambandhaḥ | na cāsau śrī-kṛṣṇasya pracchannāvirbhāva-viśeṣaḥ | ato neśvara-buddhyā sevitavya iti | etan-mataṁ nirākaroti—antaḥ-kṛṣṇeti | kṛṣṇatvaṁ yasyātaram iti | yato’sya darśanenaiva ca śrī-kṛṣṇāvirbhāva-viśeṣa evāyaṁ śrī-gaurāṅgaḥ | tasmāt īśvaratve na kāpi śaṅkā padaṁ labhate |,अत्राशिष्टा मन्यन्ते श्रीकृष्णेन सह भगवतः श्रीगौराङ्गस्य न कश्चित् सम्बन्धः । न चासौ श्रीकृष्णस्य प्रच्छन्नाविर्भावविशेषः । अतो नेश्वरबुद्ध्या सेवितव्य इति । एतन्मतं निराकरोति—अन्तःकृष्णेति । कृष्णत्वं यस्यातरम् इति । यतोऽस्य दर्शनेनैव च श्रीकृष्णाविर्भावविशेष एवायं श्रीगौराङ्गः । तस्मात् ईश्वरत्वे न कापि शङ्का पदं लभते ।,अत्राशिष्टा मन्यन्ते श्रीकृष्णेन सह भगवतः श्रीगौराङ्गस्य न कश्चित् सम्बन्धः । न चासौ श्रीकृष्णस्य प्रच्छन्नाविर्भावविशेषः । अतो नेश्वरबुद्ध्या सेवितव्य इति । एतन्मतꣳ निराकरोति—अन्तःकृष्णेति । कृष्णत्वꣳ यस्यातरम् इति । यतोऽस्य दर्शनेनैव च श्रीकृष्णाविर्भावविशेष एवायꣳ श्रीगौराङ्गः । तस्मात् ईश्वरत्वे न कापि शङ्का पदꣳ लभते ।
204,"yad api kecid āhuḥ śrī-kṛṣṇāvirbhāva-viśeṣa evāyaṁ śrī-gaurāṅgaḥ | ataḥ tadīya-patnī-tat-parikarādibhiḥ saha asya dhyāna-mantrādinā pṛthak-pūjā-paddhatir vidyate śrī-kṛṣṇa-dhyāna-mantrādinaiva tat-siddheḥ, api tu śrī-kṛṣṇāt ṛte śrī-gaurāṅga-pūjā samādheyeti | tan nirasyati—bahir gaura iti nirdeśāt | antaḥ-kṛṣṇatve’pi Z-kṛṣṇāt asya vaiśiṣṭyam āha—bahir gauram iti | apūrvojjvala-hema-varṇam ity arthaḥ | dvāpare atṛpta-kāmaḥ śrī-kṛṣṇaḥ preyasyā varṇa-bhāvābhyām ātmānam ācchādya svīyābhīṣṭa-pūraṇāya kalau śrī-gaurāṅga-rūpeṇāvirbhūtaḥ | ","यद् अपि केचिद् आहुः श्रीकृष्णाविर्भावविशेष एवायं श्रीगौराङ्गः । अतः तदीयपत्नीतत्परिकरादिभिः सह अस्य ध्यानमन्त्रादिना पृथक्पूजापद्धतिर् विद्यते श्रीकृष्णध्यानमन्त्रादिनैव तत्सिद्धेः, अपि तु श्रीकृष्णात् ऋते श्रीगौराङ्गपूजा समाधेयेति । तन् निरस्यति—बहिर् गौर इति निर्देशात् । अन्तःकृष्णत्वेऽपि ज़्कृष्णात् अस्य वैशिष्ट्यम् आह—बहिर् गौरम् इति । अपूर्वोज्ज्वलहेमवर्णम् इत्य् अर्थः । द्वापरे अतृप्तकामः श्रीकृष्णः प्रेयस्या वर्णभावाभ्याम् आत्मानम् आच्छाद्य स्वीयाभीष्टपूरणाय कलौ श्रीगौराङ्गरूपेणाविर्भूतः । ","यद् अपि केचिद् आहुः श्रीकृष्णाविर्भावविशेष एवायꣳ श्रीगौराङ्गः । अतः तदीयपत्नीतत्परिकरादिभिः सह अस्य ध्यानमन्त्रादिना पृथक्पूजापद्धतिर् विद्यते श्रीकृष्णध्यानमन्त्रादिनैव तत्सिद्धेः, अपि तु श्रीकृष्णात् ऋते श्रीगौराङ्गपूजा समाधेयेति । तन् निरस्यति—बहिर् गौर इति निर्देशात् । अन्तःकृष्णत्वेऽपि ज़्कृष्णात् अस्य वैशिष्ट्यम् आह—बहिर् गौरम् इति । अपूर्वोज्ज्वलहेमवर्णम् इत्य् अर्थः । द्वापरे अतृप्तकामः श्रीकृष्णः प्रेयस्या वर्णभावाभ्याम् आत्मानम् आच्छाद्य स्वीयाभीष्टपूरणाय कलौ श्रीगौराङ्गरूपेणाविर्भूतः । "
206,"ataḥ tat-kālocita-dhyānena mantreṇa ca evambhūtasyāsyaitat-kāle kutra pūjādi-sambhavaḥ ? adhikaṁ tu śrī-kṛṣṇasya dhyāna-mantrādau varṇitāḥ ye deha-varṇavayavāḥ taiḥ saha śrī-gaurāṅgasya deha-varṇāvayavāder atyanta-vailakṣaṇyāt tādṛśa-dhyānādes tu rūpādy-ananugatatayā śrī-kṛṣṇasya dhyāna-mantraiḥ śrī-gaurāṅga-pūjā matta-kalpanaiva | ataḥ śrī-gaurāṅga-pūjāyāḥ tad-ucita-mantrāder vyavasthāvaśyaṁ svīkāryā, śāstra-saṅgā ceyam | ānanda-caraṇair api śrī-viṣṇupriyayā saha śrī-gaurāṅgasya yathocita-yugala-mantreṇa śrī-gaura-viṣṇupriyā-yugala-bhajana-sevā-pūjā tathā śrī-nityānandādibhiḥ saha pṛthak pṛthag bhāvena śrī-gaurāṅgasya pūjā tad-ucita-dhyāna-mantreṇa samācaritā | yo vraje nandanandano rādhā-nāthaḥ śrī-kṛṣṇaḥ sa hi atra navadvīpe śacīsutaḥ viṣṇupriyā-nāthaḥ śrī-gaurāṅgaḥ saṁvṛttaḥ | yā vraje vṛṣabhānu-nandinī kṛṣṇa-priyā śrī-rādhā, sā hi navadvīpe sanātana-sutā gaura-priyā śrī-viṣṇupriyā |","अतः तत्कालोचितध्यानेन मन्त्रेण च एवम्भूतस्यास्यैतत्काले कुत्र पूजादिसम्भवः ? अधिकं तु श्रीकृष्णस्य ध्यानमन्त्रादौ वर्णिताः ये देहवर्णवयवाः तैः सह श्रीगौराङ्गस्य देहवर्णावयवादेर् अत्यन्तवैलक्षण्यात् तादृशध्यानादेस् तु रूपाद्यननुगततया श्रीकृष्णस्य ध्यानमन्त्रैः श्रीगौराङ्गपूजा मत्तकल्पनैव । अतः श्रीगौराङ्गपूजायाः तदुचितमन्त्रादेर् व्यवस्थावश्यं स्वीकार्या, शास्त्रसङ्गा चेयम् । आनन्दचरणैर् अपि श्रीविष्णुप्रियया सह श्रीगौराङ्गस्य यथोचितयुगलमन्त्रेण श्रीगौरविष्णुप्रियायुगलभजनसेवापूजा तथा श्रीनित्यानन्दादिभिः सह पृथक् पृथग् भावेन श्रीगौराङ्गस्य पूजा तदुचितध्यानमन्त्रेण समाचरिता । यो व्रजे नन्दनन्दनो राधानाथः श्रीकृष्णः स हि अत्र नवद्वीपे शचीसुतः विष्णुप्रियानाथः श्रीगौराङ्गः संवृत्तः । या व्रजे वृषभानुनन्दिनी कृष्णप्रिया श्रीराधा, सा हि नवद्वीपे सनातनसुता गौरप्रिया श्रीविष्णुप्रिया ।","अतः तत्कालोचितध्यानेन मन्त्रेण च एवम्भूतस्यास्यैतत्काले कुत्र पूजादिसम्भवः ? अधिकꣳ तु श्रीकृष्णस्य ध्यानमन्त्रादौ वर्णिताः ये देहवर्णवयवाः तैः सह श्रीगौराङ्गस्य देहवर्णावयवादेर् अत्यन्तवैलक्षण्यात् तादृशध्यानादेस् तु रूपाद्यननुगततया श्रीकृष्णस्य ध्यानमन्त्रैः श्रीगौराङ्गपूजा मत्तकल्पनैव । अतः श्रीगौराङ्गपूजायाः तदुचितमन्त्रादेर् व्यवस्थावश्यꣳ स्वीकार्या, शास्त्रसङ्गा चेयम् । आनन्दचरणैर् अपि श्रीविष्णुप्रियया सह श्रीगौराङ्गस्य यथोचितयुगलमन्त्रेण श्रीगौरविष्णुप्रियायुगलभजनसेवापूजा तथा श्रीनित्यानन्दादिभिः सह पृथक् पृथग् भावेन श्रीगौराङ्गस्य पूजा तदुचितध्यानमन्त्रेण समाचरिता । यो व्रजे नन्दनन्दनो राधानाथः श्रीकृष्णः स हि अत्र नवद्वीपे शचीसुतः विष्णुप्रियानाथः श्रीगौराङ्गः सꣳवृत्तः । या व्रजे वृषभानुनन्दिनी कृष्णप्रिया श्रीराधा, सा हि नवद्वीपे सनातनसुता गौरप्रिया श्रीविष्णुप्रिया ।"
208,"atrāpare pratyavatiṣṭhate | yadyapi yugāvatāra-nirṇaya-prasaṅge bhāgavatādi-śāstra-pramāṇakaḥ śrī-gaurāṅgaḥ, tathāpi śrī-kṛṣṇa-tattvād apakṛṣṭatayā śrī-gaurāṅga-tattvaṁ śāstreṇa samarthyate, yathā matsyādy-avatāra-tattvāni | kutaḥ etat ? śrī-kṛṣṇāt śrī-gaurāṅgasya pṛthag-dhyāna-mantrādīnāṁ svīkāre’pi śrī-gaurāṅgopāsanāyā ānarthakya-prasaṅgaḥ | dṛśyate ca śāstre—ete cāṁśa-kalāḥ puṁsaḥ kṛṣṇas tu bhagavān svayaṁ [bhā.pu. 1.3.28] iti | ","अत्रापरे प्रत्यवतिष्ठते । यद्यपि युगावतारनिर्णयप्रसङ्गे भागवतादिशास्त्रप्रमाणकः श्रीगौराङ्गः, तथापि श्रीकृष्णतत्त्वाद् अपकृष्टतया श्रीगौराङ्गतत्त्वं शास्त्रेण समर्थ्यते, यथा मत्स्याद्यवतारतत्त्वानि । कुतः एतत् ? श्रीकृष्णात् श्रीगौराङ्गस्य पृथग्ध्यानमन्त्रादीनां स्वीकारेऽपि श्रीगौराङ्गोपासनाया आनर्थक्यप्रसङ्गः । दृश्यते च शास्त्रे—एते चांशकलाः पुंसः कृष्णस् तु भगवान् स्वयं [भा.पु. १.३.२८] इति । ","अत्रापरे प्रत्यवतिष्ठते । यद्यपि युगावतारनिर्णयप्रसङ्गे भागवतादिशास्त्रप्रमाणकः श्रीगौराङ्गः, तथापि श्रीकृष्णतत्त्वाद् अपकृष्टतया श्रीगौराङ्गतत्त्वꣳ शास्त्रेण समर्थ्यते, यथा मत्स्याद्यवतारतत्त्वानि । कुतः एतत् ? श्रीकृष्णात् श्रीगौराङ्गस्य पृथग्ध्यानमन्त्रादीनाꣳ स्वीकारेऽपि श्रीगौराङ्गोपासनाया आनर्थक्यप्रसङ्गः । दृश्यते च शास्त्रे—एते चाꣳशकलाः पुꣳसः कृष्णस् तु भगवान् स्वयꣳ [भा.पु. १.३.२८] इति । "
